nama_penjara,provinsi
LAPAS KELAS II B SLAWI,JAWA TENGAH
LAPAS KELAS II B SLEMAN,D.I. YOGYAKARTA
LAPAS KELAS II B SOLOK,SUMATERA BARAT
LAPAS KELAS II B SORONG,PAPUA BARAT
LAPAS KELAS II B SUKABUMI,JAWA BARAT
LAPAS KELAS II B SUMEDANG,JAWA BARAT
LAPAS KELAS II B SUNGAI LIAT,BANGKA BELITUNG
LAPAS KELAS II B TABANAN,BALI
LAPAS KELAS II B TAHUNA,SULAWESI UTARA
LAPAS KELAS II B TAKALAR,SULAWESI SELATAN
LAPAS KELAS II B TANJUNG,KALIMANTAN SELATAN
LAPAS KELAS II B TANJUNG BALAI ASAHAN,SUMATERA UTARA
LAPAS KELAS II B TANJUNG PANDAN,BANGKA BELITUNG
LAPAS KELAS II B TASIKMALAYA,JAWA BARAT
LAPAS KELAS II B TEBING TINGGI DELI,SUMATERA UTARA
LAPAS KELAS II B TEGAL,JAWA TENGAH
LAPAS KELAS II B TELUK KUANTAN,RIAU
LAPAS KELAS II B TIMIKA,PAPUA
LAPAS KELAS II B TOBELLO,MALUKU UTARA
LAPAS KELAS II B TOLI-TOLI,SULAWESI TENGAH
LAPAS KELAS II B TONDANO,SULAWESI UTARA
LAPAS KELAS II B TUAL,MALUKU
LAPAS KELAS II B TUBAN,JAWA TIMUR
LAPAS KELAS II B TULUNGAGUNG,JAWA TIMUR
LAPAS KELAS II B ULU SIAU,SULAWESI UTARA
LAPAS KELAS II B WAIKABUBAK,NUSA TENGGARA TIMUR
LAPAS KELAS II B WAMENA,PAPUA
LAPAS KELAS II B WARUNG KIARA,JAWA BARAT
LAPAS KELAS II B WAYKANAN,LAMPUNG
LAPAS KELAS III ALAHAN PANJANG,SUMATERA BARAT
LAPAS KELAS III AMURANG,SULAWESI UTARA
LAPAS KELAS III ARJASA,JAWA TIMUR
LAPAS KELAS III BAA,NUSA TENGGARA TIMUR
LAPAS KELAS III BANDANAIRA,MALUKU
LAPAS KELAS III BARUS,SUMATERA UTARA
LAPAS KELAS III CALANG,ACEH
LAPAS KELAS III DABO SINGKEP,KEPULAUAN RIAU
LAPAS KELAS III DHARMASRAYA,SUMATERA BARAT
LAPAS KELAS III DOBO,MALUKU
LAPAS KELAS III ENEMAWIRA,SULAWESI UTARA
LAPAS KELAS III GESER,MALUKU
LAPAS KELAS III GUNUNG TUA,SUMATERA UTARA
LAPAS KELAS III KAIMANA,PAPUA BARAT
LAPAS KELAS III KOLONEDALE,SULAWESI TENGAH
LAPAS KELAS III KOTA PINANG,SUMATERA UTARA
LAPAS KELAS III KOTANOPAN,SUMATERA UTARA
LAPAS KELAS III LABUHA,MALUKU UTARA
LAPAS KELAS III LABUHAN BILIK,SUMATERA UTARA
LAPAS KELAS III LEMBATA,NUSA TENGGARA TIMUR
LAPAS KELAS III LEOK,SULAWESI TENGAH
LAPAS KELAS III LHOK NGA,ACEH
LAPAS KELAS III LIRUNG,SULAWESI UTARA
LAPAS KELAS III MAMASA,SULAWESI BARAT
LAPAS KELAS III NAMLEA,MALUKU
LAPAS KELAS III PAGAR ALAM,SUMATERA SELATAN
LAPAS KELAS III PANGURURAN,SUMATERA UTARA
LAPAS KELAS III PARIGI,SULAWESI TENGAH
LAPAS KELAS III RANGKASBITUNG,BANTEN
LAPAS KELAS III SAPARUA,MALUKU
LAPAS KELAS III SAROLANGUN RAWAS,SUMATERA SELATAN
LAPAS KELAS III SAUMLAKI,MALUKU
LAPAS KELAS III SINABANG,ACEH
LAPAS KELAS III SUKAMARA,KALIMANTAN TENGAH
LAPAS KELAS III SULIKI,SUMATERA BARAT
LAPAS KELAS III TAGULANDANG,SULAWESI UTARA
LAPAS KELAS III TALU,SUMATERA BARAT
LAPAS KELAS III TAMAKO,SULAWESI UTARA
LAPAS KELAS III TANAH MERAH,PAPUA
LAPAS KELAS III TELUK DALAM,SUMATERA UTARA
LAPAS KELAS III TEMINABUHAN,PAPUA BARAT
LAPAS KELAS III WAHAI,MALUKU
LAPAS KELAS III WONRELI,MALUKU,-
,LAPAS KHUSUS KELAS II A GUNUNG SINDUR,JAWA BARAT
LAPAS KHUSUS KELAS II A KARANGANYAR,JAWA TENGAH
LAPAS KHUSUS KELAS II B SENTUL,JAWA BARAT
LAPAS NARKOTIKA KELAS II A BANDAR LAMPUNG,LAMPUNG
LAPAS NARKOTIKA KELAS II A BANDUNG,JAWA BARAT
