"Nama","Alamat","Telepon","Kategori_ID","Kategori_EN","Nomor_Keputusan","Tanggal_Keputusan","Nama_Produk","Tempat_Perizinan","Tanggal_Operasional","Keterangan_ID","Keterangan_EN","Lampiran","Status","Tipe","Barcode","Email","Website"
"PT Central Kuta","Jl. Benesari Kuta (di dalam Minimart) Kecamatan Kuta, Kabupaten Badung, Bali","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/211/DPM/P3PVA/Dpr","11/07/2011","","KPwBI Provinsi Bali","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0327.027/0062","",""
"PT Putra Agung Gemilang","Jl. Surabaya No. 63 Medan","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/7/KEP.GBI/MDN/2011","11/07/2011","","KPwBI Provinsi Sumatera Utara","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0697.001/0039","",""
"PT Mr Valasindo","Komplek Bumi Indah Blok III No. 21 Nagoya Kel. Lubuk Baja Kota Kec. Lubuk Baja Kota Batam","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/4/KEP.GBI/Btm/2011","11/03/2011","","KPwBI Provinsi Kepulauan Riau","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0713.001/0097","",""
"PT Gunung Abadi Jaya","Jalan Setia Budi No. 33 RT/RW. 006/005   Kabupaten Karimun","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/3/KEP.GBI/Btm/2011","11/03/2011","","KPwBI Provinsi Kepulauan Riau","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0874.001/0122","",""
"PT. Tiki Suprapto","Kawasan Niaga Citra Grand, Blok R6 No. 18, Jl. Alternatif Cibubur, Bekasi","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","13/89/DASP/35","10/28/2011","","KPwBI Provinsi DKI Jakarta","","Layanan Remitansi","Remittance Services","","Izin Dicabut","ptd","","",""
"PT Bali Hastie Indomalaya","Jl. Dewi Sartika 99X Ruko 11 Tuban Ling. Br. Anyar, Badung, Bali","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/10/KEP.GBI/Dpr/2011","10/26/2011","","KPwBI Provinsi Bali","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0712.001/0101","",""
"PT Intan Valas Abadi","Jl. A Yani No.52 A","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/4/KEP.GBI/Sm/2011","09/30/2011","","KPwBI Provinsi Jawa Tengah","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0711.001/0014","",""
"PT Surya Cahaya Valasindo","Citra Garden I Blok D7 No. 8, Kalideres, Jakarta Barat","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/15/KEP.GBI/DPM/2011","09/20/2011","","KPwBI Provinsi DKI Jakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0695.001/0256","",""
"PT Global Artha Jaya","Mall Of Indonesia, LG Blok A5 No. 007, Jl. Boulevard Barat Raya No. 1, Kelapa Gading, Jakarta Utara","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/14/KEP.GBI/DPM/2011","09/15/2011","","KPwBI Provinsi DKI Jakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0692.001/0255","",""
"PT Lintang Samudra Valasindo","Komplek Srijaya Abadi Blok A No. 4","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/36/DPM/P3PVA/Btm","09/12/2011","","KPwBI Provinsi Kepulauan Riau","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0508.003/0062","",""
