name,description.__cdata,Point.coordinates
Shelter Bimomartani,Bimomartani <br>Sutriyana Kaur Pangirpo<br>0815 7861 6189<br>Kapasitas 4 Kamar ,"110.4654138,-7.699504,0"
Shelter Widodomartani,Widodomartani <br>Etik Jagabaya<br>0856 4368 1112<br>Kapasitas 4 Kamar ,"110.4445495,-7.6978731,0"
Shelter Wedomartani,Wedomartani <br>Rohmad <br>0857 1372 8088<br>Kapasitas 10 Kamar ,"110.4346601,-7.7314262,0"
Shelter Umbulmartani,Umbulmartani <br>Ahmad Arifin Jagabaya<br>0812 2761 414<br>Kapasitas 3 Kamar ,"110.4358625,-7.6834285,0"
Shelter Banyurejo,Banyurejo <br>Carik<br>0812 2834 8696<br>Balai Desa,"110.2883244,-7.7006988,0"
Shelter Tambakrejo,Tambakrejo <br>Carik<br>0877 3897 2999<br>Balai Desa,"110.3018809,-7.6838512,0"
Shelter Sumberrejo,Sumberrejo <br>Sulityanta <br>082 137 824 060<br>Kapasitas 4 kamar ,"110.3054339,-7.6748209,0"
Shelter Pondokrejo,Pondokrejo <br>Budi Nurmila Sari<br>0877 4220 3602<br>Kapasitas 15 kamar,"110.3075003,-7.6644128,0"
Shelter Mororejo,Mororejo <br>Wawan <br>087 831 139 679<br>kosong ( Kapasitas 3 Kamar),"110.3179048,-7.6702368,0"
Shelter Margorejo,Margorejo <br>Ariyanto Wibowo (Carik )<br>085 628 777 33<br>Kosong (Kapasitas 3 Kamar),"110.3305455,-7.6632511,0"
Shelter Lumbungrejo,Lumbungrejo <br>Aman Jagabaya<br>0877 3835 4717<br>Kapasitas 5 kamar ,"110.325684,-7.651751,0"
Shelter Merdikorejo,Merdikorejo <br>Yuni Adi Nurdianto (Carik)<br>083 865 796 921<br>Kapasitas 5 kamar ( 10 Bed) ,"110.3433977,-7.6328815,0"
Shelter Bangunkerto,Bangunkerto <br>Fatkhurohman <br>085 866 473 146<br>Balai Desa,"110.3568023,-7.6528183,0"
Shelter Donokerto,Donokerto<br>Hadi Rachmad Syah (Carik)<br>082 243 432 466<br>Kapasitas 1 Kamar,"110.378952,-7.6547574,0"
Shelter Girikerto,Girikerto <br>krisna (Carik)<br>085 743 143 883<br>30 orang ,"111.1848626,-7.5471544,0"
Shelter Wonokerto,Wonokerto <br>Didik Irwanto Jogoboyo<br>0857 4312 8969<br>2 Kamar,"110.3828396,-7.6206013,0"
Shelter Purwobinangun,Purwobinangun <br>Nurhadi (Pj Jogoboyo)<br>085 622 333 36<br>Kapasitas 6 Kamar ,"110.3923238,-7.649075,0"
Shelter Candibinangun,Candibinangun <br>Modin<br>0818 9969 98<br>Kapasitas 34 Kamar,"110.4044032,-7.6589394,0"
Shelter Harjobinangun,Harjobinangun <br>Pj Jogoboyo <br>081 227 566 490<br>Kapasitas 2 Kamar ,"110.41151,-7.6688154,0"
Shelter Pakembinangun,Pakembinangun <br>Carik<br>0856 4303 0793<br>Balai Desa,"110.4218654,-7.6590411,0"
Shelter Hargobinangun,Hargobinangun <br>M. Sumardi <br>081 219 405 19<br>Kapasitas 22 kamar 44 Bed ,"110.4258035,-7.6397432,0"
Shelter Argomulyo,Argomulyo <br>Subarjo <br>081 328 831 97<br>Kapasitas 10 Kamar ,"110.4563488,-7.6594539,0"
Shelter Wukirsari,Wukirsari <br>Carik<br>0815 6886 302<br>Balai Desa,"110.4438001,-7.6577791,0"
Shelter Glagaharjo,Glagaharjo <br>Heri Jogoboyo<br>0821 3791 1817<br>Kapasitas 3 Kamar ,"110.4684513,-7.6482623,0"
Shelter Kepuharjo,Kepuharjo <br>Wiyani Suhadi<br>0856 0094 5900<br>Kapasitas 2 Kamar ,"110.4524367,-7.6251696,0"
Shelter Umbulharjo,Umbulharjo <br>Sriyono Jogoboyo<br>0858 7821 2444<br>Kapasitas 10 Kamar ,"110.4334013,-7.6258309,0"
