providerName,siteURL,imageURL,domain,estFoundingYear
GRI-APAC,https://gri-apac.com/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/GRI-APAC.png?v=3,gri-apac.com,2016-12-10
Hacktiv8,https://hacktiv8.com/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Hacktiv8.png?v=3,hacktiv8.com,2016-03-02
Halo Coffee Lab,http://kursuskopi.com/works/kartu-prakerja-x-halo-coffee/,https://static-asset-cdn.prakerja.go.id/companies-logo/Halo_Coffee_Lab.png?v=3,kursuskopi.com,2020-10-30
HarukaEdu,https://pintaria.com/semua-kursus,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/c8jvq8oHaruka-edu.png?v=3,pintaria.com,2004-10-23
HelloMotion Academy,https://hellomotion.academy/home/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/HelloMotion_Academy.png?v=3,hellomotion.academy,2019-08-06
Hi Colleagues,https://www.hicolleagues.com/kelas/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Hi_Colleagues.png?v=3,hicolleagues.com,
IHS - International Hotel Management School,https://ihs.ac.id/,https://static-asset-cdn.prakerja.go.id/companies-logo/IHS-InternationalHotelManagementSchool.png?v=3,ihs.ac.id,
ILS Academy,https://www.ils-academy.com/programprakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/ILS_Academy.png?v=3,ils-academy.com,2017-07-23
Impact Byte,www.impactbyte.com,https://static-asset-cdn.prakerja.go.id/companies-logo/Impact_Byte.png?v=3,impactbyte.com,2017-07-13
Insight Out,https://www.imonmyway.id/kelas-prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/insight_out.png?v=3,imonmyway.id,
Inspirasi Indonesia & NLP Indonesia,www.inspirasiindonesia.com,https://static-asset-cdn.prakerja.go.id/companies-logo/Inspirasi_Indonesia___NLP_Indonesia.png?v=3,inspirasiindonesia.com,2005-09-07
International Design School (IDS),https://belajar.idseducation.com/help/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/zALVO38ids.png?v=3,belajar.idseducation.com,
International Professional Center,https://ipi.ac.id/info-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/International_Professional_Center.png?v=3,ipi.ac.id,
