Nama Penyelenggara	Alamat	Telepon	Kategori ID	Kategori EN	Nomor Surat	Tanggal Surat	Status	Keterangan ID	Keterangan EN
Johanna Gani			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/288/DPPK/Srt/B	05/21/2018	1	Akuntan Publik	Public Accountant
V. Tagor Sidik S. Sigiro			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/290/DPPK/Srt/B	05/21/2018	1	Akuntan Publik	Public Accountant
Hanny Prasetyo			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/292/DPPK/Srt/B	05/21/2018	1	Akuntan Publik	Public Accountant
Renie Feriana			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/294/DPPK/Srt/B	05/21/2018	1	Akuntan Publik	Public Accountant
PT Bank CIMB Niaga, Tbk.	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	20/281/DPPK/Srt/B	05/15/2018	1		
Tjandra Putra, SE., SH., M.Kn.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/278/DPPK/Srt/B	05/11/2018	1	Konsultan Hukum	Law Consultant
PT BNI Sekuritas	Jakarta		Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/275/DPPK/Srt/B	05/09/2018	1	Penata Laksana	Arranger
Kevin Kogin, SH., MH., CLA., CPL., CPCLE.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/272/DPPK/Srt/B	05/08/2018	1	Konsultan Hukum	Law Consultant
PT Bank Mizuho Indonesia	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	20/12/KEP/KADEP.DPPK/2018	05/08/2018	1		
Melli Darsa, SH., LL.M.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/256/DPPK/Srt/B	04/27/2018	1	Konsultan Hukum	Law Consultant
Florus Daeli, SE., MM., Ak., CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/258/DPPK/Srt/B	04/27/2018	1	Akuntan Publik	Public Accountant
Tan Siddharta, SE., MM., Ak., CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/260/DPPK/Srt/B	04/27/2018	1	Akuntan Publik	Public Accountant
Drs. Sugito Wibowo, MM., Ak., CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/262/DPPK/Srt/B	04/27/2018	1	Akuntan Publik	Public Accountant
Desman P.L. Tobing, SE., Ak., CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/264/DPPK/Srt/B	04/27/2018	1	Akuntan Publik	Public Accountant
Agung Tjahjady, SH., BKP., CPA., MM.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/284/DPPK/Srt/B	04/24/2018	1	Konsultan Hukum	Law Consultant
Nur Hakim, SH., CLA., MH.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/248/DPPK/Srt/B	04/24/2018	1	Konsultan Hukum	Law Consultant
Arry Syarief Gunawam, CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/230/DPPK/Srt/B	04/23/2018	1	Akuntan Publik	Public Accountant
Supandi, Drs., CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/232/DPPK/Srt/B	04/23/2018	1	Akuntan Publik	Public Accountant
Budi Taufik Wibawa, CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/234/DPPK/Srt/B	04/23/2018	1	Akuntan Publik	Public Accountant
Husni Arvan, Drs. CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/236/DPPK/Srt/B	04/23/2018	1	Akuntan Publik	Public Accountant
PT Bank CIMB Niaga Tbk.	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	20/11/KEP.KADEP.DPPK/2018	04/23/2018	1		
Sardjana Orba Manullang, S.H., M.H., M.Kn., Dr.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/219/DPPK/Srt/B	04/17/2018	1	Konsultan Hukum	Law Consultant
Handi Putranto Wilamarta, SH., MH., MKn., BA., MBA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/221/DPPK/Srt/B	04/17/2018	1	Konsultan Hukum	Law Consultant
Elizabeth S. Silalahi, SH., LLM.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/205/DPPK/Srt/B	04/12/2018	1	Konsultan Hukum	Law Consultant
Syamsudin, CA., CPA., Drs.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/201/DPPK/Srt/B	04/11/2018	1	Akuntan Publik	Public Accountant
PT BNP Paribas Indonesia	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	20/10/KEP.KADEP.DPPK/2018	04/11/2018	1		
BNI (Persero) Tbk, PT.	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	20/185/DPPK/Srt/B	04/05/2018	1		
G. P. Aji Wijaya, SH.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/183/DPPK/Srt/B	04/05/2018	1	Konsultan Hukum	Law Consultant
Juanita Arsyane, S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/167/DPPK/Srt/B	03/26/2018	1	Konsultan Hukum	Law Consultant
Ivan Ferdiansyah Baely, SH., LLM.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/170/DPPK/Srt/B	03/26/2018	1	Konsultan Hukum	Law Consultant
Almaida Iskandar, SH.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/172/DPPK/Srt/B	03/26/2018	1	Konsultan Hukum	Law Consultant
Bing Harianto			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/155/DPPK/Srt/B	03/26/2018	1	Akuntan Publik	Public Accountant
Muhammad Irfan			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/159/DPPK/Srt/B	03/26/2018	1	Akuntan Publik	Public Accountant
Riniek Winarsih			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/161/DPPK/Srt/B	03/26/2018	1	Akuntan Publik	Public Accountant
Ahmad Hidayat, S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/144/DPPK/Srt/B	03/19/2018	1	Konsultan Hukum	Law Consultant
Kukuh Komandoko Hadiwidjojo, S.H., M.Kn.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/146/DPPK/Srt/B	03/19/2018	1	Konsultan Hukum	Law Consultant
Rr. Y. Tutiek Setia Murni, S.H., M.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/136/DPPK/Srt/B	03/12/2018	1	Notaris	Notary Public
PT. Bank Mandiri (Persero), Tbk.	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	20/8/KEP.KADEP.DPPK/2018	03/12/2018	1		
PT OCBC Sekuritas Indonesia	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	20/9/KEP.KADEP.DPPK/2018	03/06/2018	1		
PT. BJB, Tbk.	Bandung		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	20/7/KEP.KADEP.DPPK/2018	03/05/2018	1		
BJB, Tbk, PT.	Bandung		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	20/126/DPPK/Srt/B	03/05/2018	1		
Antonius Wahono P., S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/121/DPPK/Srt/B	03/05/2018	1	Notaris	Notary Public
Agustinus Dawarja, S.H., M.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/123/DPPK/Srt/B	03/05/2018	1	Konsultan Hukum	Law Consultant
PT Bank UOB Indonesia	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	20/6/KEP.KADEP.DPPK/2018	02/28/2018	1		
Tamiza Saleh, S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/98/DPPK/Srt/B	02/23/2018	1	Konsultan Hukum	Law Consultant
Sriyadi, MM., CPA., BKP.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/100/DPPK/Srt/B	02/23/2018	1	Akuntan Publik	Public Accountant
Sugeng Iscahyono, M.Si., Ak., CA., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/102/DPPK/Srt/B	02/23/2018	1	Akuntan Publik	Public Accountant
Defa Aulia Farhan, S.E., Ak., CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/104/DPPK/Srt/B	02/23/2018	1	Akuntan Publik	Public Accountant
Andy Eldes, Ak., CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/106/DPPK/Srt/B	02/23/2018	1	Akuntan Publik	Public Accountant
Aris Suryanata, Ak., CPA., CA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/108/DPPK/Srt/B	02/23/2018	1	Akuntan Publik	Public Accountant
Suhartono, MPA., Ak., CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/110/DPPK/Srt/B	02/23/2018	1	Akuntan Publik	Public Accountant
Achmad Khadafi Munir, S.H., M.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/90/DPPK/Srt/B	02/21/2018	1	Konsultan Hukum	Law Consultant
Hafzan Taher, S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/85/DPPK/Srt/B	02/19/2018	1	Konsultan Hukum	Law Consultant
