Nama Penyelenggara	Alamat	Telepon	Kategori ID	Kategori EN	Nomor Surat	Tanggal Surat	Status	Keterangan ID	Keterangan EN
Standard Chartered Bank N.A., Indonesia	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	19/273/DPPK/Srt/B	10/18/2017	1		
PT Bank Pembangunan Daerah NTT	Kupang		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/33/KEP.KADEP.DPPK/2017	10/16/2017	1		
PT Bank Maybank Indonesia	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/31/KEP.KADEP.DPPK/2017	10/03/2017	1		
PT Bank Maybank Indonesia	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	19/32/KEP.KADEP.DPPK/2017	10/03/2017	1		
PT Nusantara Mahabakti	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/30/KEP.KADEP.DPPK/2017	09/25/2017	1		
PT DBS Vickers Indonesia	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/29/KEP.KADEP.DPPK/2017	09/22/2017	1		
PT Mirae Asset Sekuritas Indonesia	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	19/28/KEP.KADEP.DPPK/2017	09/12/2017	1		
PT Mirae Asset Sekuritas Indonesia	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/25/KEP.KADEP.DPPK/2017	09/07/2017	1		
PT Amstel Indonesia	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/26/KEP.KADEP.DPPK/2017	09/07/2017	1		
PT Inti Tullett Prebon Indonesia	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/27/KEP.KADEP.DPPK/2017	09/07/2017	1		
PT BCA Sekuritas	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/24/KEP.KADEP.DPPK/2017	08/28/2017	1		
PT BNI Sekuritas	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/19/KEP.KADEP.DPPK/2017	08/24/2017	1		
PT. Binaartha Sekuritas	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/20/KEP.KADEP.DPPK/2017	08/24/2017	1		
PT BNI Sekuritas	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	19/23/KEP.KADEP.DPPK/2017	08/24/2017	1		
PT Bank of Tokyo-Mitsubishi UFJ, Ltd.	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/18/KEP.KADEP.DPPK/2017	08/24/2017	1		
PT Bank Sumitomo Mitsui Indonesia	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/21/KEP.KADEP.DPPK/2017	08/24/2017	1		
PT Bank Tabungan Negara (Persero), Tbk.	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/22/KEP.KADEP.DPPK/2017	08/24/2017	1		
Lembaga Sertifikasi Profesi Perbankan (LSPP)			Lembaga Sertifikasi Profesi yang Diakui Bank Indonesia	Professional Certification Institution Approved by Bank Indonesia	19/1/KEP.ADG/2017	08/14/2017	1		
PT Indo Premier Sekuritas	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	19/15/KEP.KADEP.DPPK/2017	08/14/2017	1		
PT Pilar Dana	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/14/KEP.KADEP.DPPK/2017	08/14/2017	1		
PT Global Sarana Lintas Artha	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/16/KEP.KADEP.DPPK/2017	08/14/2017	1		
PT Bimasena Artha Internasional	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/17/KEP.KADEP.DPPK/2017	08/14/2017	1		
PT ICAP Indonesia	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/12/KEP.KADEP.DPPK/2017	08/11/2017	0		
PT Bank Central Asia, Tbk.	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	19/13/KEP.KADEP.DPPK/2017	08/11/2017	1		
PT Bank CIMB Niaga, Tbk.	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/11/KEP.KADEP.DPPK/2017	08/11/2017	1		
